Age,Country,EdLevel,YearsCodePro,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeWantToWorkWith
35-44 years old,France,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",15,HTML/CSS;JavaScript;Objective-C;PHP;SQL;TypeScript,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Elasticsearch;MySQL;PostgreSQL;Redis,MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);OVH;Scaleway,Amazon Web Services (AWS);Google Cloud;OVH,Laravel;Symfony
55-64 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",17,C#;SQL,C#;SQL,Microsoft SQL Server,Microsoft SQL Server,Cloudflare;Google Cloud;Microsoft Azure;VMware,Microsoft Azure,ASP.NET CORE;Blazor
25-34 years old,India,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,Go;HTML/CSS;Java;JavaScript;PowerShell;Rust;TypeScript,Go;HTML/CSS;Java;JavaScript;PowerShell;Rust;TypeScript,Cassandra;MariaDB;MySQL,MariaDB;MySQL,Microsoft Azure;OpenShift,Microsoft Azure;OpenShift,Angular;Htmx;Next.js;Node.js;React;Solid.js;Vue.js
25-34 years old,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",4,C#;HTML/CSS;Java;JavaScript;Lua;PHP;TypeScript,C#;HTML/CSS;Java;JavaScript;Lua;PHP,MariaDB;MySQL;Redis;SQLite,MariaDB;MongoDB;MySQL;Redis;SQLite,Cloudflare;Hetzner,Cloudflare;Hetzner,Laravel
25-34 years old,Germany,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",12,Elixir;Erlang;JavaScript;Ruby;Rust;TypeScript,Elixir;Erlang;Rust,PostgreSQL;Redis;SQLite;Supabase,PostgreSQL;SQLite;Supabase,Amazon Web Services (AWS);Fly.io;Hetzner,Fly.io;Hetzner,Phoenix
25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",10,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Microsoft SQL Server;MongoDB;PostgreSQL,Microsoft SQL Server;MongoDB;PostgreSQL,Microsoft Azure,Microsoft Azure,ASP.NET CORE;React
35-44 years old,Switzerland,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",21,C;Clojure;Python,Clojure;Python,Datomic;PostgreSQL,Datomic;PostgreSQL,Digital Ocean;Heroku,Digital Ocean,React
25-34 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",5,Bash/Shell (all shells);C++;Go;HTML/CSS;JavaScript;OCaml;Python;Rust;TypeScript,Bash/Shell (all shells);HTML/CSS;Rust,BigQuery;MongoDB;PostgreSQL;SQLite,SQLite,Amazon Web Services (AWS);Google Cloud,Google Cloud,Htmx
35-44 years old,United Kingdom of Great Britain and Northern Ireland,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",16,C#;HTML/CSS;JavaScript;PowerShell;Python;SQL;TypeScript,C#;GDScript;HTML/CSS;JavaScript;Python;SQL;TypeScript,Cockroachdb;Cosmos DB;InfluxDB;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,PostgreSQL;Snowflake,Microsoft Azure,Microsoft Azure,Angular;ASP.NET CORE;React
25-34 years old,Poland,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",7,Bash/Shell (all shells);HTML/CSS;JavaScript;Rust;SQL;Swift;TypeScript,HTML/CSS;JavaScript;Rust;SQL;Swift;TypeScript,PostgreSQL;Redis,PostgreSQL;Redis,Digital Ocean;Vercel,Digital Ocean;Vercel,Express;Fastify;NestJS;Next.js;Node.js;React;Vue.js
25-34 years old,Norway,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",16,C#;HTML/CSS;JavaScript;TypeScript,C#;Elixir;HTML/CSS;JavaScript;TypeScript,Microsoft SQL Server;Solr;Supabase,Microsoft SQL Server;Supabase,Google Cloud;Microsoft Azure;Supabase;Vercel,Microsoft Azure;Supabase;Vercel,Next.js;Node.js;Phoenix;React;Svelte
18-24 years old,Kenya,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Less than 1 year,C;HTML/CSS;JavaScript;PowerShell;Python;Solidity;SQL;TypeScript,C;HTML/CSS;JavaScript;PowerShell;Python;Solidity;SQL;TypeScript,Cloud Firestore;Firebase Realtime Database;MySQL;PostgreSQL;SQLite;Supabase,Cloud Firestore;Cockroachdb;Firebase Realtime Database;MongoDB;PostgreSQL;SQLite;Supabase,Amazon Web Services (AWS);Firebase;Vercel,Vercel,Deno;Express;Next.js;Node.js;React;Remix;Solid.js;Svelte
Under 18 years old,Pakistan,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",6,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,MariaDB;MongoDB;MySQL,MariaDB;MongoDB;MySQL;PostgreSQL,Google Cloud,Google Cloud,Express;Flask;NestJS;Next.js;Node.js;React;Svelte
25-34 years old,Canada,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",Less than 1 year,HTML/CSS;Java;Python,Go;HTML/CSS;Java;Python;Rust;SQL;TypeScript,Cloud Firestore,BigQuery;Cloud Firestore;PostgreSQL;SQLite,Firebase;Google Cloud,Firebase;Google Cloud;Vercel,Flask;Next.js;Node.js;React
35-44 years old,Netherlands,Some college/university study without earning a degree,24,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Microsoft SQL Server;PostgreSQL,Microsoft SQL Server;PostgreSQL,Microsoft Azure,Microsoft Azure,ASP.NET;ASP.NET CORE;Blazor;React;Svelte
25-34 years old,Ukraine,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)",4,JavaScript;Python;SQL,Python;Rust;SQL,BigQuery;MariaDB;MySQL;PostgreSQL;Redis;SQLite,BigQuery;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;Snowflake;SQLite,Amazon Web Services (AWS);Google Cloud;Vultr,Amazon Web Services (AWS);Databricks;Google Cloud,Django;FastAPI;Flask;Vue.js
25-34 years old,Turkey,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,C#;JavaScript;SQL,C#;JavaScript;SQL,Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Cosmos DB;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;RavenDB;Redis,Cloudflare;Firebase;Google Cloud;Heroku;Microsoft Azure;Vercel,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud;Heroku;Microsoft Azure,ASP.NET CORE;Blazor;jQuery;Ruby on Rails
25-34 years old,Bosnia and Herzegovina,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",3,C#;PowerShell;Python;SQL;TypeScript,C#;C++;PowerShell;Python;SQL;TypeScript,MariaDB;MySQL,MariaDB;MySQL,Amazon Web Services (AWS),Amazon Web Services (AWS),ASP.NET;ASP.NET CORE;React
35-44 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",18,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP,Bash/Shell (all shells);HTML/CSS;JavaScript;Perl;PHP,MariaDB;MySQL;PostgreSQL,MariaDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;Oracle Cloud Infrastructure (OCI),Amazon Web Services (AWS);Google Cloud;Oracle Cloud Infrastructure (OCI),CodeIgniter;jQuery;Symfony;WordPress
18-24 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",4,C;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,HTML/CSS;SQL;TypeScript,Cassandra;Cockroachdb;Elasticsearch;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Couch DB;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Cloudflare;Google Cloud;Render;Vercel,Cloudflare;Render;Vercel,Astro;Fastify;Next.js;Node.js;React
25-34 years old,United States of America,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",2,C#;Elixir;Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,Elixir;Go;Python;SQL;TypeScript,MongoDB;PostgreSQL;Supabase,PostgreSQL;Supabase,Firebase;Fly.io;Google Cloud;Heroku;Netlify;PythonAnywhere;Render;Supabase,Netlify;PythonAnywhere;Render;Supabase;Vercel,Astro;Django;Htmx;Svelte
18-24 years old,Ukraine,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,HTML/CSS;JavaScript;TypeScript,Rust;TypeScript,Dynamodb;MongoDB;PostgreSQL,Firebase Realtime Database;MongoDB;PostgreSQL,Amazon Web Services (AWS);Vercel,Amazon Web Services (AWS);Firebase,Htmx;NestJS;Next.js;Node.js;React
35-44 years old,Guatemala,Some college/university study without earning a degree,15,C#;HTML/CSS;JavaScript;PHP;PowerShell;Python;Ruby;SQL,C#;Go;HTML/CSS;JavaScript;Kotlin;PHP;PowerShell;Python;Ruby;SQL;Swift;TypeScript,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL,Elasticsearch;Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;Oracle;Redis,Cloudflare;Digital Ocean;Managed Hosting,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Google Cloud,jQuery;Laravel;Node.js;Ruby on Rails;Vue.js;WordPress
25-34 years old,Côte d'Ivoire,"Bachelor's degree (B.A., B.S., B.Eng., etc.)",7,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript;VBA,C#;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;Python;R;SQL;TypeScript,Cloud Firestore;Firebase Realtime Database;Microsoft Access;Microsoft SQL Server;MySQL;Oracle;PostgreSQL;SQLite,Cloud Firestore;Couch DB;Couchbase;Firebase Realtime Database;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,Firebase;Google Cloud,Amazon Web Services (AWS);Firebase;Google Cloud;OVH,Angular;Django;Express;FastAPI;Flask;jQuery;NestJS;Node.js;Spring Boot;Vue.js
